danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,duration_min,release_year,key,mode,time_signature,playlist_genre,track_popularity,label_kaggle
0.623,0.449,0.0253,0.0,0.0613,0.573,84.383,4.266666666666667,1989.0,5.0,1.0,4.0,rock,75,1
0.389,0.476,0.0316,5.09e-05,0.255,0.566,148.117,3.61845,1992.0,9.0,1.0,4.0,rock,73,1
0.526,0.978,0.108,4.75e-05,0.0744,0.451,141.167,3.5037833333333332,1984.0,8.0,1.0,4.0,rock,72,1
0.297,0.842,0.0488,9.1e-06,0.0848,0.586,100.127,3.4462166666666665,1992.0,6.0,1.0,4.0,rock,72,1
0.27,0.944,0.0975,2.05e-05,0.116,0.606,146.347,4.498666666666667,1975.0,4.0,1.0,4.0,rock,70,1
0.349,0.182,0.031,0.0152,0.143,0.178,136.094,3.19955,1954.0,5.0,1.0,3.0,jazz,69,1
0.136,0.164,0.0364,0.916,0.109,0.071,58.303,2.7811166666666667,1976.0,4.0,0.0,4.0,classical,68,1
0.184,0.00527,0.0432,0.887,0.173,0.151,170.612,5.257116666666667,2007.0,1.0,0.0,3.0,classical,68,1
0.447,0.449,0.0376,0.961,0.0697,0.036,92.468,5.257116666666667,2013.0,2.0,1.0,4.0,classical,75,1
0.505,0.812,0.461,0.0,0.444,0.664,80.09,4.265266666666666,2024.0,1.0,1.0,4.0,hip-hop,88,1
0.872,0.507,0.072,0.0,0.111,0.506,130.007,2.64445,2024.0,4.0,0.0,4.0,hip-hop,76,1
0.835,0.802,0.243,7.33e-06,0.0882,0.374,128.085,2.3963,2024.0,7.0,1.0,4.0,hip-hop,71,1
0.794,0.533,0.0591,2.76e-05,0.207,0.15,120.011,2.9837166666666666,2024.0,9.0,1.0,4.0,hip-hop,73,1
0.769,0.722,0.0507,2.56e-06,0.111,0.57,119.973,4.266666666666667,2024.0,11.0,0.0,4.0,hip-hop,92,1
0.832,0.684,0.359,0.0,0.229,0.68,166.976,2.491016666666667,2024.0,1.0,1.0,4.0,hip-hop,78,1
0.65,0.642,0.04,0.0,0.0855,0.186,111.907,2.1192333333333333,2024.0,2.0,1.0,4.0,hip-hop,70,1
0.92,0.699,0.358,0.0,0.0745,0.484,129.054,2.303,2024.0,11.0,1.0,4.0,hip-hop,72,1
0.757,0.628,0.101,0.0209,0.221,0.321,119.98,3.6222166666666666,2024.0,4.0,0.0,4.0,hip-hop,85,1
0.749,0.709,0.259,0.0,0.329,0.564,78.53,3.019433333333333,2024.0,6.0,1.0,4.0,hip-hop,73,1
0.853,0.69,0.0647,0.0,0.0835,0.471,125.951,2.2857166666666666,2024.0,10.0,1.0,4.0,hip-hop,78,1
0.863,0.754,0.0611,0.0,0.0913,0.301,131.001,2.31995,2024.0,11.0,1.0,4.0,hip-hop,77,1
0.608,0.4,0.32,0.000327,0.119,0.089,106.682,2.6538,2024.0,1.0,1.0,5.0,hip-hop,69,1
0.662,0.509,0.322,0.0,0.266,0.549,157.94,2.2784833333333334,2024.0,1.0,1.0,4.0,hip-hop,70,1
0.76,0.663,0.0551,0.0,0.305,0.209,143.082,2.46755,2024.0,9.0,0.0,4.0,hip-hop,81,1
0.649,0.761,0.152,0.0,0.207,0.313,147.216,2.5034,2024.0,8.0,1.0,4.0,hip-hop,73,1
0.672,0.663,0.243,0.0,0.134,0.381,184.057,2.3054,2024.0,3.0,1.0,4.0,hip-hop,76,1
0.884,0.681,0.149,0.0,0.277,0.324,114.991,3.0715666666666666,2024.0,8.0,1.0,4.0,hip-hop,69,1
0.783,0.723,0.135,0.0,0.159,0.294,139.942,4.63335,2024.0,1.0,1.0,4.0,hip-hop,76,1
0.652,0.831,0.264,0.0,0.269,0.648,139.905,2.5166166666666667,2024.0,10.0,0.0,4.0,hip-hop,68,1
